rebalance_date,next_date,n_stocks,has_delisted,engine_gross,daily_gross,diff_gross,tol_gross,G_NAV_1,engine_tc,recomputed_tc,diff_tc,G_NAV_2,engine_net,daily_net_compound,diff_net,bound_net,G_NAV_4
2016-04-05,2016-08-18,20,False,0.07806365076560762,0.07806365076560806,4.440892098500626e-16,1e-06,True,0.0068,0.0068,0.0,True,0.07126365076560762,0.07073281794040187,-0.0005308328252057459,0.0005318328252061318,True
2016-08-18,2017-04-05,20,False,-0.01385722702383091,-0.013857227023830965,-5.551115123125783e-17,1e-06,True,0.0050999999999999995,0.0050999999999999995,0.0,True,-0.01895722702383091,-0.018886555166009455,7.067185782145408e-05,7.167185782153762e-05,True
2017-04-05,2017-08-18,20,False,0.007415109535082846,0.007415109535082731,-1.1449174941446927e-16,1e-06,True,0.00578,0.00578,0.0,True,0.0016351095350828453,0.001592250201969847,-4.285933311299825e-05,4.385933311277885e-05,True
2017-08-18,2018-04-04,20,False,0.08639035833395374,0.08639035833395359,-1.5265566588595902e-16,1e-06,True,0.0050999999999999995,0.0050999999999999995,0.0,True,0.08129035833395375,0.08084976750645034,-0.0004405908275034037,0.00044159082750316403,True
2018-04-04,2018-08-20,20,True,0.06672874760403577,0.06672874760403613,3.608224830031759e-16,0.001,True,0.00578,0.00578,0.0,True,0.06094874760403577,0.06056305544288487,-0.00038569216115089816,0.0013866921611513268,True
2018-08-20,2019-04-03,20,False,0.04220592704343856,0.04220592704343873,1.6653345369377348e-16,1e-06,True,0.00612,0.00612,0.0,True,0.03608592704343856,0.035827626769932897,-0.00025830027350566553,0.000259300273505844,True
2019-04-03,2019-08-20,20,False,-0.1670897965076589,-0.16708979650765876,1.3877787807814457e-16,1e-06,True,0.0064600000000000005,0.0064600000000000005,0.0,True,-0.1735497965076589,-0.17247039642221929,0.001079400085439608,0.0010804000854394765,True
2019-08-20,2020-04-03,20,False,-0.21336292875226487,-0.21336292875226492,-5.551115123125783e-17,1e-06,True,0.0064600000000000005,0.0064600000000000005,0.0,True,-0.21982292875226486,-0.21844460423252532,0.0013783245197395433,0.001379324519739631,True
2020-04-03,2020-08-20,20,False,0.5935386549355511,0.5935386549355512,1.1102230246251565e-16,1e-06,True,0.0068,0.0068,0.0,True,0.5867386549355511,0.5827025920819895,-0.004036062853561617,0.0040370628535617474,True
2020-08-20,2021-04-05,20,False,0.5158310210175808,0.5158310210175809,1.1102230246251565e-16,1e-06,True,0.0068,0.0068,0.0,True,0.5090310210175808,0.5055233700746613,-0.0035076509429194935,0.0035086509429195496,True
2021-04-05,2021-08-19,20,False,0.18812627479483782,0.1881262747948378,-2.7755575615628914e-17,1e-06,True,0.0037400000000000003,0.0037400000000000003,0.0,True,0.18438627479483782,0.18368268252710518,-0.0007035922677326445,0.0007045922677326935,True
2021-08-19,2022-04-05,20,False,0.05318372322729615,0.05318372322729625,1.0408340855860843e-16,1e-06,True,0.0050999999999999995,0.0050999999999999995,0.0,True,0.04808372322729615,0.04781248623883716,-0.00027123698845898936,0.00027223698845921034,True
2022-04-05,2022-08-18,20,False,-0.0789311384556565,-0.07893113845565636,1.3877787807814457e-16,1e-06,True,0.00476,0.00476,0.0,True,-0.0836911384556565,-0.08331542623660737,0.00037571221904912633,0.00037671221904892496,True
2022-08-18,2023-04-05,20,False,0.19368880169081973,0.1936888016908196,-1.3877787807814457e-16,1e-06,True,0.00476,0.00476,0.0,True,0.18892880169081971,0.18800684299477122,-0.0009219586960484971,0.000922958696048302,True
2023-04-05,2023-08-18,20,False,-0.05604355447738513,-0.05604355447738496,1.6653345369377348e-16,1e-06,True,0.00442,0.00442,0.0,True,-0.06046355447738513,-0.06021584196659491,0.0002477125107902198,0.0002487125107900423,True
2023-08-18,2024-04-03,20,False,0.03981985667872412,0.03981985667872423,1.1102230246251565e-16,1e-06,True,0.00476,0.00476,0.0,True,0.03505985667872412,0.03487031416093345,-0.00018954251779067233,0.0001905425177907268,True
2024-04-03,2024-08-20,20,False,-0.013230110193208442,-0.01323011019320841,3.122502256758253e-17,1e-06,True,0.00544,0.00544,0.0,True,-0.018670110193208442,-0.018598138393757346,7.197179945109614e-05,7.297179945105393e-05,True
2024-08-20,2025-04-03,20,False,-0.04721955457469568,-0.04721955457469551,1.6653345369377348e-16,1e-06,True,0.00476,0.00476,0.0,True,-0.05197955457469568,-0.05175478949491996,0.00022476507977571558,0.00022576507977555143,True
2025-04-03,2025-08-20,20,False,0.22626107317624244,0.22626107317624244,0.0,1e-06,True,0.00612,0.00612,0.0,True,0.22014107317624246,0.21875635540840377,-0.001384717767838689,0.0013857177678386035,True
2025-08-20,2026-04-03,20,False,0.24686905633824216,0.2468690563382423,1.3877787807814457e-16,1e-06,True,0.0034,0.0034,0.0,True,0.24346905633824217,0.24262970154669228,-0.0008393547915498956,0.0008403547915500233,True
